Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
H,16.0,0.05,-0.205692,0,0,0,0,0,32,78,107,97,49,21,16,0,0,0,0,0,0,0,0
H,17.0,0.0,-0.268424,0,0,0,0,2,65,137,119,31,21,0,10,14,1,0,0,0,0,0,0
H,9.0,0.06,0.280539,0,0,0,0,0,0,0,0,0,1,16,74,143,121,45,0,0,0,0,0
S,18.0,0.13,-0.000201593,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
S,15.0,0.2,0.000231505,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
H,9.0,0.02,0.10361,0,0,0,0,0,0,0,2,31,26,148,118,41,20,14,0,0,0,0,0
S,4.0,0.02,-0.000146364,0,0,0,0,0,0,0,0,0,391,9,0,0,0,0,0,0,0,0,0
S,8.0,0.2,-5.18743e-05,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
H,13.0,0.01,-0.14581,0,0,0,0,2,30,141,317,163,101,131,85,30,0,0,0,0,0,0,0
H,13.0,0.18,0.0414751,0,0,0,0,0,0,0,0,41,89,146,116,8,0,0,0,0,0,0,0
S,15.0,0.17,0.000226384,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
H,9.0,0.2,-0.025247,0,0,0,0,0,0,1,2,50,217,110,15,5,0,0,0,0,0,0,0
H,3.0,0.06,-0.071052,0,0,0,0,0,0,16,27,107,125,121,3,1,0,0,0,0,0,0,0
H,9.0,0.11,-0.188425,0,0,0,0,0,11,97,137,57,45,17,30,0,6,0,0,0,0,0,0
S,17.0,0.02,0.000222599,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
S,10.0,0.17,-0.000291857,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
H,8.0,0.11,0.078642,0,0,0,0,0,0,0,0,28,57,145,134,21,15,0,0,0,0,0,0
S,11.0,0.15,-0.000159279,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
H,11.0,0.1,0.0885477,0,0,0,0,0,0,0,9,39,108,68,61,62,43,10,0,0,0,0,0
H,10.0,0.08,0.00133092,0,0,0,0,0,23,22,41,30,34,89,93,61,7,0,0,0,0,0,0
H,5.0,0.0,0.29822,0,0,0,0,0,0,0,0,0,8,15,48,122,118,87,2,0,0,0,0
H,8.0,0.08,0.205802,0,0,0,0,0,0,0,17,9,41,81,33,21,128,70,0,0,0,0,0
S,16.0,0.0,-1.5358e-05,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
S,19.0,0.06,1.16602e-05,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
H,14.0,0.15,-0.016669,0,0,0,0,0,0,0,2,56,185,134,23,0,0,0,0,0,0,0,0
S,5.0,0.02,1.30137e-05,0,0,0,0,0,0,0,0,0,382,18,0,0,0,0,0,0,0,0,0
H,10.0,0.15,0.167634,0,0,0,0,0,0,0,0,14,63,83,34,90,102,14,0,0,0,0,0
S,16.0,0.14,0.000191326,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
