Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,112.0,0.4,-0.000492335,0,0,0,0,0,0,0,0,0,330,70,0,0,0,0,0,0,0,0,0
S,110.0,0.6,0.161687,0,0,0,0,0,0,0,0,0,212,43,0,0,51,46,47,1,0,0,0
S,325.0,0.1,-0.000111507,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
H,119.0,0.0,-0.160318,0,0,0,0,0,9,25,125,134,56,48,3,0,0,0,0,0,0,0,0
S,117.0,0.6,0.0958619,0,0,0,0,0,0,0,0,0,207,49,0,128,16,0,0,0,0,0,0
S,309.0,0.3,3.24445e-05,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
H,110.0,0.4,0.0451724,0,0,0,0,0,10,32,31,37,57,61,68,33,44,27,0,0,0,0,0
S,39.0,0.9,0.79917,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,4,43,20,33,254
S,305.0,0.3,-5.42336e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
H,87.0,0.5,0.572388,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61,184,127,22,0,0
H,114.0,0.8,0.814246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,85,135,100
S,112.0,0.8,0.33091,0,0,0,0,0,0,0,0,0,75,9,0,64,82,71,84,15,0,0,0
H,90.0,0.5,0.103728,0,0,0,0,0,0,0,10,45,73,92,58,43,51,25,3,0,0,0,0
S,75.0,0.5,0.268663,0,0,0,0,0,0,0,0,0,225,20,0,0,0,0,9,74,65,7,0
S,112.0,0.0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
H,101.0,0.0,0.197744,0,0,0,0,0,0,0,0,0,5,70,134,123,53,15,0,0,0,0,0
H,117.0,0.8,0.618275,0,0,0,0,0,0,0,0,0,0,11,37,56,35,34,4,26,22,56,119
S,85.0,0.7,0.251415,0,0,0,0,0,0,0,0,0,147,27,0,13,63,93,45,12,0,0,0
S,49.0,0.9,0.325302,0,0,0,0,0,0,0,0,0,43,0,0,71,195,63,28,0,0,0,0
S,336.0,0.1,-2.02297e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
H,104.0,0.2,-0.168495,0,0,0,0,6,68,66,61,26,42,83,43,5,0,0,0,0,0,0,0
H,114.0,1.0,0.912861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,141,238
H,335.0,0.1,-0.00946133,0,0,0,0,0,0,3,3,74,138,127,48,6,1,0,0,0,0,0,0
S,110.0,0.4,-0.000218106,0,0,0,0,0,0,0,0,0,340,60,0,0,0,0,0,0,0,0,0
H,314.0,0.3,0.0623172,0,0,0,0,0,0,0,37,74,61,78,56,21,18,54,1,0,0,0,0
S,105.0,0.8,0.225063,0,0,0,0,0,0,0,0,0,95,6,3,157,103,36,0,0,0,0,0
S,103.0,0.8,0.270532,0,0,0,0,0,0,0,0,0,87,23,1,51,170,44,1,23,0,0,0
H,112.0,1.0,0.855472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,47,135,163
S,73.0,0.7,0.219757,0,0,0,0,0,0,0,0,0,118,21,0,83,144,28,6,0,0,0,0
H,115.0,0.2,-0.086719,0,0,0,0,0,1,42,49,88,114,48,55,3,0,0,0,0,0,0,0
H,72.0,0.5,0.017255,0,0,0,0,0,0,4,41,114,54,19,49,114,5,0,0,0,0,0,0
S,84.0,0.7,0.399655,0,0,0,0,0,0,0,0,0,152,20,0,0,0,32,35,40,41,74,6
H,81.0,0.7,0.596552,0,0,0,0,0,0,0,0,0,0,0,0,0,26,79,91,116,73,13,2
H,317.0,0.3,-0.182061,0,0,0,0,0,16,81,130,67,34,44,27,1,0,0,0,0,0,0,0
H,103.0,1.0,0.797295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,44,91,119,95
S,323.0,0.1,-4.11396e-05,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
H,301.0,0.3,0.00774994,0,0,0,0,0,0,10,45,54,64,101,78,47,1,0,0,0,0,0,0
S,118.0,0.8,0.299784,0,0,0,0,0,0,0,0,0,76,3,0,41,167,112,1,0,0,0,0
H,112.0,0.0,-0.131698,0,0,0,0,0,29,61,14,100,110,79,7,0,0,0,0,0,0,0,0
H,80.0,0.5,0.328195,0,0,0,0,0,0,0,0,0,0,3,55,78,157,105,2,0,0,0,0
H,107.0,0.2,0.0113965,0,0,0,0,0,0,0,12,59,127,92,96,14,0,0,0,0,0,0,0
H,107.0,0.8,0.531713,0,0,0,0,0,0,0,0,0,0,3,18,23,25,45,149,92,43,2,0
H,115.0,0.8,0.568618,0,0,0,0,0,0,0,0,0,0,4,90,23,8,19,78,25,30,33,90
S,101.0,0.4,-0.00018169,0,0,0,0,0,0,0,0,0,334,66,0,0,0,0,0,0,0,0,0
S,83.0,0.7,0.219007,0,0,0,0,0,0,0,0,0,126,12,2,98,112,31,19,0,0,0,0
H,71.0,0.7,0.479005,0,0,0,0,0,0,0,0,0,0,1,19,65,67,68,77,22,58,23,0
